abandon,abandonner
ability,capacité
abolish,abolir
absence,absence
absolute,absolu
absorb,absorber
abuse,abus
academic,académique
access,accès
accident,accident
accomplish,accomplir
account,compte
accuracy,précision
accuse,accuser
achieve,atteindre
acknowledge,reconnaître
acquire,acquérir
action,action
activate,activer
activity,activité
actor,acteur
adapt,adapter
add,ajouter
address,adresse
adjust,ajuster
administration,administration
admire,admirer
admit,admettre
adopt,adopter
advance,avancer
advantage,avantage
adventure,aventure
advertisement,publicité
advice,conseil
advocate,défenseur
affect,affecter
afford,pouvoir se permettre
afraid,peur
against,contre
agency,agence
agenda,ordre du jour
aggravate,aggraver
aggression,agression
agreement,accord
agriculture,agriculture
aid,aide
aim,viser
air,air
alarm,alarme
alert,alerte
alien,extraterrestre
allegation,allégation
alleviate,alléger
alliance,alliance
allow,permettre
almost,presque
alone,seul
alternative,alternative
although,bien que
altogether,totalement
amazing,incroyable
ambition,ambition
amount,montant
analysis,analyse
analyze,analyser
ancestor,ancêtre
ancient,ancien
anger,colère
angle,angle
animal,animal
announce,annoncer
annual,annuel
anxiety,anxiété
anyway,de toute façon
apartment,appartement
apologize,s'excuser
apparent,apparent
appeal,appel
appearance,apparence
application,application
apply,appliquer
appoint,nommer
appreciate,apprécier
approach,approche
appropriate,approprié
approval,approbation
approve,approuver
approximately,approximativement
architect,architecte
area,zone
argue,débattre
argument,argument
arise,surgir
arrange,organiser
arrest,arrestation
arrival,arrivée
arrogant,arrogant
article,article
artificial,artificiel
ashamed,honteux
aspect,aspect
assemble,assembler
assert,affirmer
assess,évaluer
assignment,mission
assist,aider
associate,associer
assume,assumer
assure,assurer
astonishing,stupéfiant
atmosphere,atmosphère
attach,attacher
attack,attaque
attempt,tentative
attend,assister
attention,attention
attitude,attitude
attract,attirer
auction,enchère
audience,public
author,auteur
authority,autorité
automatic,automatique
available,disponible
average,moyenne
avoid,éviter
award,récompense
aware,conscient
awful,affreux
balance,équilibre
ban,interdire
barrier,barrière
base,base
basic,basique
basis,base
battle,bataille
beach,plage
bear,ours
beat,battre
beauty,beauté
because,parce que
become,devenir
before,avant
begin,commencer
behavior,comportement
belief,croyance
believe,croire
belong,appartenir
benefit,bénéfice
besides,en outre
best,meilleur
better,meilleur
between,entre
beyond,au-delà
billion,milliard
biology,biologie
birth,naissance
bit,morceau
blame,blâmer
blanket,couverture
bless,bénir
blind,aveugle
block,bloquer
blood,sang
board,planche
boast,se vanter
body,corps
bomb,bombe
book,livre
border,frontière
borrow,emprunter
both,tous les deux
bother,déranger
bottle,bouteille
bottom,bas
boundary,frontière
brain,cerveau
branch,branche
brand,marque
brave,courageux
break,rompre
breath,souffle
breathe,respirer
brief,brief
bright,brillant
bring,apporter
broadcast,diffuser
brother,frère
budget,budget
build,construire
bullet,balle
burden,fardeau
burn,brûler
bury,enterrer
business,entreprise
busy,occupé
but,mais
butter,beurre
button,bouton
buy,acheter
cabin,cabine
calculate,calculer
calendar,calendrier
call,appel
camera,caméra
campaign,campagne
campus,campus
can,pouvoir
cancel,annuler
cancer,cancer
candidate,candidat
capital,capital
capture,capturer
car,voiture
care,s'occuper
career,carrière
careful,prudent
carry,porter
case,cas
cash,argent liquide
cast,jeter
casual,occasionnel
catch,attraper
